Order_ID,Customer_ID,Product_Category,Product_Price,Discount_Percent,Delivery_Days,Customer_Rating,Return_Status,Return_Reason
ORD100000,CUST10285,Home,3043.56,10,7,4.4,Not Returned,Not Returned
ORD100001,CUST10048,Books,4158.47,0,4,4.3,Not Returned,Not Returned
ORD100002,CUST10139,Fashion,1869.48,20,13,3.2,Not Returned,Not Returned
ORD100003,CUST10217,Electronics,3454.48,20,11,3.8,Returned,Wrong Size
ORD100004,CUST10043,Electronics,2915.51,15,8,2.3,Not Returned,Not Returned
ORD100005,CUST10268,Sports,1481.74,5,13,2.9,Not Returned,Not Returned
ORD100006,CUST10077,Books,4417.42,0,5,4.3,Not Returned,Not Returned
ORD100007,CUST10215,Home,4027.64,5,7,2.8,Not Returned,Not Returned
ORD100008,CUST10097,Electronics,3360.57,0,10,2.4,Returned,Changed Mind
ORD100009,CUST10235,Electronics,4282.79,15,3,3.0,Returned,Damaged
ORD100010,CUST10281,Beauty,4363.01,15,7,4.3,Not Returned,Not Returned
ORD100011,CUST10148,Beauty,3600.14,20,11,2.3,Returned,Changed Mind
ORD100012,CUST10065,Electronics,4217.66,5,11,1.7,Not Returned,Not Returned
ORD100013,CUST10233,Books,3547.86,30,8,3.8,Not Returned,Not Returned
ORD100014,CUST10086,Sports,3464.68,20,5,4.3,Not Returned,Not Returned
ORD100015,CUST10078,Electronics,3169.33,5,4,1.4,Not Returned,Not Returned
ORD100016,CUST10204,Fashion,3813.04,20,8,2.0,Returned,Late Delivery
ORD100017,CUST10278,Home,961.3,30,8,1.6,Not Returned,Not Returned
ORD100018,CUST10253,Sports,4428.18,10,3,2.4,Not Returned,Not Returned
ORD100019,CUST10129,Fashion,4384.85,10,6,2.8,Not Returned,Not Returned
ORD100020,CUST10083,Sports,340.39,10,5,4.0,Not Returned,Not Returned
ORD100021,CUST10275,Fashion,4163.92,10,2,3.6,Not Returned,Not Returned
ORD100022,CUST10186,Home,818.58,40,8,3.5,Returned,Defective
ORD100023,CUST10045,Home,1808.57,0,12,2.4,Returned,Defective
ORD100024,CUST10182,Beauty,3768.84,40,14,4.4,Not Returned,Not Returned
ORD100025,CUST10267,Books,971.65,40,6,2.9,Not Returned,Not Returned
ORD100026,CUST10295,Fashion,4126.24,40,2,4.9,Returned,Damaged
ORD100027,CUST10099,Beauty,4194.24,10,12,3.5,Not Returned,Not Returned
ORD100028,CUST10077,Fashion,2635.85,30,5,1.5,Not Returned,Not Returned
ORD100029,CUST10271,Beauty,230.65,15,1,3.7,Not Returned,Not Returned
ORD100030,CUST10161,Home,1577.78,15,12,2.3,Not Returned,Not Returned
ORD100031,CUST10043,Sports,3161.25,0,10,3.7,Not Returned,Not Returned
ORD100032,CUST10237,Beauty,4909.69,10,6,1.3,Returned,Late Delivery
ORD100033,CUST10133,Fashion,3232.7,10,13,1.7,Not Returned,Not Returned
ORD100034,CUST10191,Fashion,1447.06,10,12,4.4,Not Returned,Not Returned
ORD100035,CUST10277,Books,3243.23,20,9,1.9,Not Returned,Not Returned
ORD100036,CUST10017,Home,2791.93,5,1,4.3,Not Returned,Not Returned
ORD100037,CUST10011,Fashion,3943.26,20,11,2.1,Not Returned,Not Returned
ORD100038,CUST10179,Electronics,713.51,5,11,3.6,Not Returned,Not Returned
ORD100039,CUST10122,Sports,3852.93,10,10,3.8,Not Returned,Not Returned
ORD100040,CUST10245,Beauty,2798.08,10,12,3.1,Not Returned,Not Returned
ORD100041,CUST10221,Books,4822.36,20,12,2.2,Not Returned,Not Returned
ORD100042,CUST10050,Sports,1840.99,20,14,1.9,Returned,Damaged
ORD100043,CUST10070,Home,3236.59,5,14,1.1,Not Returned,Not Returned
ORD100044,CUST10047,Books,4673.73,15,14,2.2,Not Returned,Not Returned
ORD100045,CUST10018,Beauty,692.05,5,3,3.6,Returned,Defective
ORD100046,CUST10261,Beauty,4698.7,20,12,4.8,Not Returned,Not Returned
ORD100047,CUST10083,Electronics,3501.85,30,7,4.5,Not Returned,Not Returned
ORD100048,CUST10154,Home,525.62,20,4,4.1,Not Returned,Not Returned
ORD100049,CUST10052,Books,1644.63,30,9,4.2,Not Returned,Not Returned
ORD100050,CUST10106,Books,3599.23,0,3,3.7,Not Returned,Not Returned
ORD100051,CUST10134,Fashion,523.28,20,5,2.0,Returned,Changed Mind
ORD100052,CUST10068,Electronics,2994.42,0,3,4.6,Not Returned,Not Returned
ORD100053,CUST10010,Electronics,1860.24,15,7,3.7,Not Returned,Not Returned
ORD100054,CUST10142,Books,3180.39,5,5,3.2,Not Returned,Not Returned
ORD100055,CUST10191,Books,419.56,30,9,1.4,Returned,Wrong Size
ORD100056,CUST10068,Sports,4383.38,5,7,2.8,Not Returned,Not Returned
ORD100057,CUST10022,Sports,4872.75,0,2,2.8,Returned,Defective
ORD100058,CUST10180,Sports,4850.61,30,4,4.5,Not Returned,Not Returned
ORD100059,CUST10292,Electronics,3798.33,5,9,3.2,Not Returned,Not Returned
ORD100060,CUST10008,Fashion,824.41,20,12,2.5,Not Returned,Not Returned
ORD100061,CUST10270,Beauty,3839.66,10,14,4.9,Not Returned,Not Returned
ORD100062,CUST10092,Sports,318.02,0,2,1.4,Returned,Not as Described
ORD100063,CUST10016,Fashion,306.19,5,10,2.7,Not Returned,Not Returned
ORD100064,CUST10153,Home,1753.33,0,9,1.2,Returned,Wrong Size
ORD100065,CUST10148,Sports,2545.49,40,10,4.0,Not Returned,Not Returned
ORD100066,CUST10266,Beauty,3897.96,0,5,4.7,Not Returned,Not Returned
ORD100067,CUST10105,Home,3479.82,30,2,2.1,Not Returned,Not Returned
ORD100068,CUST10034,Home,2340.33,40,4,4.4,Not Returned,Not Returned
ORD100069,CUST10118,Beauty,1513.41,30,12,2.2,Not Returned,Not Returned
ORD100070,CUST10013,Sports,4986.2,10,12,4.6,Returned,Defective
ORD100071,CUST10013,Electronics,2245.67,40,7,4.0,Not Returned,Not Returned
ORD100072,CUST10265,Beauty,2366.66,20,12,4.2,Not Returned,Not Returned
ORD100073,CUST10139,Beauty,985.39,0,13,1.1,Returned,Changed Mind
ORD100074,CUST10293,Beauty,4015.09,5,8,4.9,Not Returned,Not Returned
ORD100075,CUST10118,Home,3529.67,15,3,3.9,Not Returned,Not Returned
ORD100076,CUST10237,Fashion,1259.69,0,14,2.2,Not Returned,Not Returned
ORD100077,CUST10033,Electronics,595.43,0,1,4.3,Not Returned,Not Returned
ORD100078,CUST10168,Sports,3466.4,10,4,2.1,Not Returned,Not Returned
ORD100079,CUST10009,Sports,3341.65,20,2,4.5,Not Returned,Not Returned
ORD100080,CUST10121,Fashion,1511.65,15,8,1.5,Not Returned,Not Returned
ORD100081,CUST10144,Beauty,4764.15,40,4,3.8,Not Returned,Not Returned
ORD100082,CUST10222,Electronics,925.08,40,2,3.2,Not Returned,Not Returned
ORD100083,CUST10256,Sports,2275.21,40,14,1.4,Not Returned,Not Returned
ORD100084,CUST10267,Books,4729.36,30,6,2.0,Not Returned,Not Returned
ORD100085,CUST10003,Sports,2214.69,30,6,1.0,Not Returned,Not Returned
ORD100086,CUST10105,Beauty,3264.92,5,10,2.9,Not Returned,Not Returned
ORD100087,CUST10084,Books,2108.45,15,4,2.2,Not Returned,Not Returned
ORD100088,CUST10213,Fashion,1516.23,40,6,3.4,Not Returned,Not Returned
ORD100089,CUST10120,Electronics,4923.09,30,13,2.2,Returned,Damaged
ORD100090,CUST10131,Fashion,2164.8,5,2,2.2,Not Returned,Not Returned
ORD100091,CUST10196,Fashion,4491.68,20,10,4.0,Not Returned,Not Returned
ORD100092,CUST10018,Electronics,1303.78,5,12,1.2,Not Returned,Not Returned
ORD100093,CUST10129,Electronics,1222.9,30,2,4.6,Not Returned,Not Returned
ORD100094,CUST10011,Sports,349.44,10,10,4.4,Not Returned,Not Returned
ORD100095,CUST10080,Sports,3328.0,10,14,3.7,Not Returned,Not Returned
ORD100096,CUST10261,Electronics,1968.93,40,4,3.4,Not Returned,Not Returned
ORD100097,CUST10124,Books,4348.92,10,14,4.6,Not Returned,Not Returned
ORD100098,CUST10266,Home,2471.41,40,8,1.7,Not Returned,Not Returned
ORD100099,CUST10139,Sports,4847.33,40,14,1.3,Returned,Wrong Size
ORD100100,CUST10001,Home,1090.52,30,7,2.0,Not Returned,Not Returned
ORD100101,CUST10007,Books,4369.39,10,12,4.2,Not Returned,Not Returned
ORD100102,CUST10249,Electronics,3927.66,40,9,1.1,Returned,Changed Mind
ORD100103,CUST10138,Books,3900.42,15,14,3.3,Not Returned,Not Returned
ORD100104,CUST10123,Sports,4254.96,20,8,5.0,Returned,Late Delivery
ORD100105,CUST10227,Fashion,3852.92,5,5,4.4,Not Returned,Not Returned
ORD100106,CUST10009,Electronics,3205.86,5,13,3.1,Not Returned,Not Returned
ORD100107,CUST10211,Beauty,829.98,30,2,1.3,Not Returned,Not Returned
ORD100108,CUST10111,Home,356.13,10,5,4.3,Not Returned,Not Returned
ORD100109,CUST10007,Books,4620.07,10,8,3.4,Not Returned,Not Returned
ORD100110,CUST10291,Electronics,3159.92,40,10,1.5,Returned,Not as Described
